# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
6880at2085	Complete	NODE_1_length_73696_cov_32.301567	58519	59070	+	236.4	183
6885at2085	Complete	NODE_20_length_10828_cov_21.472666	6338	7735	+	484.1	425
6889at2085	Complete	NODE_4_length_40423_cov_18.794992	9605	8712	-	400.2	281
6922at2085	Complete	NODE_3_length_51449_cov_28.078621	25663	26544	+	393.6	294
6929at2085	Complete	NODE_10_length_23813_cov_7.225619	23171	22908	-	144.7	84
6930at2085	Complete	NODE_17_length_13341_cov_35.051536	12236	13096	+	375.1	283
6932at2085	Complete	NODE_6_length_32321_cov_28.623066	596	129	-	176.5	146
6977at2085	Complete	NODE_12_length_18973_cov_26.749390	17360	18334	+	490.4	312
6980at2085	Complete	NODE_2_length_68051_cov_18.212929	52073	53494	+	645.7	470
7001at2085	Complete	NODE_7_length_31690_cov_28.497069	2828	2460	-	222.4	121
7006at2085	Complete	NODE_4_length_40423_cov_18.794992	5240	4770	-	296.7	155
7008at2085	Complete	NODE_5_length_37041_cov_13.966598	19056	21650	+	1322.7	819
7026at2085	Complete	NODE_25_length_8282_cov_25.433476	4809	5771	+	424.9	285
7035at2085	Complete	NODE_2_length_68051_cov_18.212929	24321	25904	+	875.8	487
7039at2085	Complete	NODE_7_length_31690_cov_28.497069	3924	3172	-	368.1	245
7055at2085	Complete	NODE_3_length_51449_cov_28.078621	5646	6497	+	355.5	268
7075at2085	Missing
7085at2085	Complete	NODE_25_length_8282_cov_25.433476	1981	3279	+	656.4	425
7090at2085	Complete	NODE_14_length_15897_cov_20.600380	11872	14862	+	1126.0	985
7112at2085	Complete	NODE_3_length_51449_cov_28.078621	16779	18566	+	1033.4	590
7136at2085	Complete	NODE_27_length_6314_cov_8.731372	1825	1391	-	237.2	144
7152at2085	Complete	NODE_10_length_23813_cov_7.225619	2840	2109	-	252.7	225
7168at2085	Complete	NODE_8_length_30985_cov_8.604803	10636	11913	+	556.0	424
7172at2085	Complete	NODE_14_length_15897_cov_20.600380	4761	2962	-	1111.2	594
7202at2085	Complete	NODE_34_length_4384_cov_5.495419	906	319	-	241.7	184
7206at2085	Complete	NODE_1_length_73696_cov_32.301567	34097	34981	+	372.8	289
7231at2085	Complete	NODE_3_length_51449_cov_28.078621	3254	3877	+	287.5	190
7270at2085	Complete	NODE_4_length_40423_cov_18.794992	24969	23713	-	402.7	378
7292at2085	Complete	NODE_5_length_37041_cov_13.966598	16574	15201	-	750.5	443
7308at2085	Complete	NODE_7_length_31690_cov_28.497069	6073	4604	-	664.1	470
7410at2085	Complete	NODE_14_length_15897_cov_20.600380	9252	8200	-	374.0	317
7412at2085	Complete	NODE_11_length_19569_cov_10.168861	16567	14708	-	409.9	427
7434at2085	Complete	NODE_28_length_5889_cov_5.042694	3158	2331	-	238.9	246
7448at2085	Complete	NODE_3_length_51449_cov_28.078621	24743	25642	+	407.3	263
7500at2085	Complete	NODE_5_length_37041_cov_13.966598	4942	5541	+	325.9	196
7502at2085	Complete	NODE_1_length_73696_cov_32.301567	69876	70571	+	214.6	209
7504at2085	Complete	NODE_7_length_31690_cov_28.497069	6507	6073	-	207.6	140
7514at2085	Complete	NODE_10_length_23813_cov_7.225619	17954	18622	+	335.0	216
7526at2085	Complete	NODE_28_length_5889_cov_5.042694	3745	3188	-	248.8	165
7532at2085	Complete	NODE_9_length_27958_cov_8.304588	24261	23182	-	586.0	358
7542at2085	Complete	NODE_8_length_30985_cov_8.604803	22887	23834	+	361.8	277
7544at2085	Complete	NODE_1_length_73696_cov_32.301567	7098	5833	-	679.1	418
7579at2085	Complete	NODE_4_length_40423_cov_18.794992	14583	13018	-	725.3	518
7585at2085	Complete	NODE_4_length_40423_cov_18.794992	28566	27760	-	396.9	261
7607at2085	Complete	NODE_35_length_4168_cov_18.214551	2056	4026	+	1032.8	649
7622at2085	Complete	NODE_2_length_68051_cov_18.212929	8400	7633	-	288.2	241
7633at2085	Complete	NODE_14_length_15897_cov_20.600380	1612	146	-	790.0	490
7665at2085	Complete	NODE_6_length_32321_cov_28.623066	18089	17430	-	224.0	199
7671at2085	Complete	NODE_4_length_40423_cov_18.794992	15963	15493	-	217.8	154
7697at2085	Complete	NODE_1_length_73696_cov_32.301567	44797	47034	+	853.6	694
7741at2085	Complete	NODE_9_length_27958_cov_8.304588	21139	19301	-	777.3	579
7742at2085	Complete	NODE_6_length_32321_cov_28.623066	2462	3658	+	510.2	377
7744at2085	Complete	NODE_20_length_10828_cov_21.472666	3311	3862	+	226.1	178
7755at2085	Complete	NODE_9_length_27958_cov_8.304588	10721	9399	-	664.7	431
7778at2085	Complete	NODE_11_length_19569_cov_10.168861	12922	12071	-	417.3	274
7784at2085	Complete	NODE_26_length_7419_cov_61.815277	1838	3043	+	511.8	389
7787at2085	Missing
7796at2085	Complete	NODE_1_length_73696_cov_32.301567	36676	38085	+	683.1	432
7803at2085	Complete	NODE_9_length_27958_cov_8.304588	7590	8093	+	189.4	161
7809at2085	Complete	NODE_25_length_8282_cov_25.433476	1248	1964	+	350.9	229
7813at2085	Complete	NODE_2_length_68051_cov_18.212929	3813	5204	+	404.7	348
7823at2085	Complete	NODE_6_length_32321_cov_28.623066	1107	1970	+	355.9	269
7829at2085	Complete	NODE_25_length_8282_cov_25.433476	3306	3968	+	346.3	213
7831at2085	Complete	NODE_1_length_73696_cov_32.301567	2710	1277	-	732.8	475
7843at2085	Complete	NODE_14_length_15897_cov_20.600380	7344	4861	-	917.5	571
7848at2085	Complete	NODE_12_length_18973_cov_26.749390	4991	6139	+	585.9	365
7851at2085	Complete	NODE_22_length_10644_cov_15.898355	4570	2753	-	937.3	605
7853at2085	Missing
7855at2085	Complete	NODE_8_length_30985_cov_8.604803	23836	25842	+	877.3	662
7924at2085	Complete	NODE_18_length_12121_cov_14.008754	2281	539	-	925.5	566
7933at2085	Complete	NODE_16_length_15078_cov_9.801084	8520	9491	+	380.8	256
7934at2085	Complete	NODE_11_length_19569_cov_10.168861	14705	13089	-	590.2	432
7943at2085	Complete	NODE_7_length_31690_cov_28.497069	2457	2083	-	211.8	123
7945at2085	Complete	NODE_9_length_27958_cov_8.304588	11394	10711	-	278.2	216
7950at2085	Complete	NODE_1_length_73696_cov_32.301567	14113	14721	+	274.4	201
7983at2085	Complete	NODE_1_length_73696_cov_32.301567	9509	10069	+	262.2	179
8021at2085	Complete	NODE_7_length_31690_cov_28.497069	14656	13688	-	275.2	196
8038at2085	Complete	NODE_6_length_32321_cov_28.623066	29564	27909	-	745.5	553
8040at2085	Complete	NODE_1_length_73696_cov_32.301567	51930	53276	+	558.8	428
8042at2085	Complete	NODE_1_length_73696_cov_32.301567	4258	5679	+	746.7	471
8047at2085	Complete	NODE_7_length_31690_cov_28.497069	7185	6517	-	293.6	187
8060at2085	Complete	NODE_5_length_37041_cov_13.966598	10749	12455	+	597.6	551
8077at2085	Complete	NODE_8_length_30985_cov_8.604803	6912	7865	+	442.2	314
8095at2085	Complete	NODE_6_length_32321_cov_28.623066	29778	30293	+	252.8	170
8107at2085	Complete	NODE_8_length_30985_cov_8.604803	16172	16603	+	181.7	138
8160at2085	Complete	NODE_7_length_31690_cov_28.497069	4610	3915	-	263.1	204
8166at2085	Complete	NODE_20_length_10828_cov_21.472666	1828	2382	+	134.1	166
8189at2085	Complete	NODE_1_length_73696_cov_32.301567	60184	64497	+	1972.3	1458
8199at2085	Complete	NODE_8_length_30985_cov_8.604803	2929	3693	+	302.4	237
8232at2085	Complete	NODE_4_length_40423_cov_18.794992	35195	34896	-	120.6	81
8245at2085	Complete	NODE_1_length_73696_cov_32.301567	24814	24164	-	245.9	209
8263at2085	Complete	NODE_3_length_51449_cov_28.078621	27403	26576	-	260.9	279
8311at2085	Complete	NODE_13_length_17613_cov_8.412730	11346	12209	+	304.3	271
8382at2085	Complete	NODE_5_length_37041_cov_13.966598	17534	18964	+	470.4	417
10882at2085	Complete	NODE_8_length_30985_cov_8.604803	13950	16103	+	723.4	647
10883at2085	Complete	NODE_1_length_73696_cov_32.301567	11039	13258	+	996.5	688
10887at2085	Complete	NODE_11_length_19569_cov_10.168861	17954	16578	-	739.3	449
10888at2085	Complete	NODE_11_length_19569_cov_10.168861	18099	19427	+	679.8	434
10892at2085	Complete	NODE_26_length_7419_cov_61.815277	1777	152	-	731.2	544
10894at2085	Complete	NODE_1_length_73696_cov_32.301567	30579	29182	-	742.5	455
10897at2085	Complete	NODE_2_length_68051_cov_18.212929	61814	60621	-	633.1	394
10902at2085	Complete	NODE_11_length_19569_cov_10.168861	10160	11206	+	495.4	337
10906at2085	Complete	NODE_24_length_9019_cov_11.601552	4316	3213	-	599.2	364
10907at2085	Complete	NODE_4_length_40423_cov_18.794992	26567	25398	-	514.7	392
10913at2085	Complete	NODE_18_length_12121_cov_14.008754	4865	3927	-	370.1	296
10915at2085	Complete	NODE_4_length_40423_cov_18.794992	29619	28606	-	543.6	325
10916at2085	Complete	NODE_10_length_23813_cov_7.225619	21862	20627	-	588.0	401
10924at2085	Complete	NODE_5_length_37041_cov_13.966598	22763	24766	+	507.0	445
10925at2085	Complete	NODE_1_length_73696_cov_32.301567	68879	69886	+	394.5	332
10927at2085	Complete	NODE_2_length_68051_cov_18.212929	49604	50440	+	341.0	268
10928at2085	Complete	NODE_20_length_10828_cov_21.472666	2376	3311	+	450.1	303
10930at2085	Complete	NODE_7_length_31690_cov_28.497069	11649	10918	-	350.5	221
10934at2085	Complete	NODE_1_length_73696_cov_32.301567	10011	10991	+	326.8	282
10938at2085	Complete	NODE_7_length_31690_cov_28.497069	9288	8725	-	317.3	179
10939at2085	Complete	NODE_1_length_73696_cov_32.301567	31554	33572	+	390.3	646
10942at2085	Complete	NODE_3_length_51449_cov_28.078621	4629	5645	+	366.0	317
10945at2085	Complete	NODE_2_length_68051_cov_18.212929	22008	22862	+	290.9	232
10952at2085	Complete	NODE_2_length_68051_cov_18.212929	7640	6867	-	283.3	255
10966at2085	Complete	NODE_2_length_68051_cov_18.212929	47358	48167	+	268.4	235
10967at2085	Complete	NODE_12_length_18973_cov_26.749390	18309	18971	+	227.9	201
10978at2085	Complete	NODE_1_length_73696_cov_32.301567	28749	28075	-	244.3	236
10984at2085	Complete	NODE_4_length_40423_cov_18.794992	23713	22631	-	427.2	325
10990at2085	Complete	NODE_3_length_51449_cov_28.078621	6506	7153	+	267.5	209
10991at2085	Complete	NODE_4_length_40423_cov_18.794992	21648	21289	-	194.9	114
11005at2085	Complete	NODE_7_length_31690_cov_28.497069	9638	9303	-	122.1	102
11010at2085	Complete	NODE_1_length_73696_cov_32.301567	33631	34083	+	188.6	145
11025at2085	Complete	NODE_4_length_40423_cov_18.794992	21849	21661	-	115.0	61
11061at2085	Complete	NODE_2_length_68051_cov_18.212929	48171	48995	+	325.0	273
