# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id	Status	Sequence	Score	Length
7292at2085	Missing
7308at2085	Missing
7410at2085	Fragmented	MINDJIJG_00864	331.4	255
7412at2085	Complete	MINDJIJG_00780	414.3	398
7434at2085	Missing
7448at2085	Missing
7500at2085	Complete	MINDJIJG_00439	268.3	158
7502at2085	Fragmented	MINDJIJG_00131	158.7	155
7504at2085	Complete	MINDJIJG_00567	207.6	140
7514at2085	Complete	MINDJIJG_00747	313.1	196
7526at2085	Missing
7532at2085	Complete	MINDJIJG_00703	586.0	358
7542at2085	Missing
7544at2085	Missing
7579at2085	Missing
7585at2085	Missing
7607at2085	Complete	MINDJIJG_01164	1032.8	649
7622at2085	Complete	MINDJIJG_00149	288.2	241
7633at2085	Missing
7665at2085	Complete	MINDJIJG_00534	187.2	168
7671at2085	Complete	MINDJIJG_00382	217.8	154
7697at2085	Missing
7741at2085	Missing
7742at2085	Missing
7744at2085	Missing
7755at2085	Missing
7778at2085	Fragmented	MINDJIJG_00775	257.2	179
7784at2085	Missing
7787at2085	Missing
7796at2085	Missing
7803at2085	Missing
7809at2085	Complete	MINDJIJG_01068	350.9	229
7813at2085	Fragmented	MINDJIJG_00141	246.2	212
7823at2085	Complete	MINDJIJG_00505	355.9	269
7829at2085	Complete	MINDJIJG_01072	346.4	213
7831at2085	Missing
7843at2085	Fragmented	MINDJIJG_00860	787.0	448
7848at2085	Fragmented	MINDJIJG_00797	330.4	201
7851at2085	Missing
7853at2085	Missing
7855at2085	Fragmented	MINDJIJG_00660	682.5	493
7924at2085	Missing
7933at2085	Complete	MINDJIJG_00915	377.5	251
7934at2085	Missing
7943at2085	Missing
7945at2085	Missing
7950at2085	Missing
7983at2085	Complete	MINDJIJG_00022	262.3	179
8021at2085	Missing
8038at2085	Fragmented	MINDJIJG_00548	400.2	320
8040at2085	Fragmented	MINDJIJG_00100	311.6	239
8042at2085	Complete	MINDJIJG_00012	693.8	414
8047at2085	Complete	MINDJIJG_00568	293.6	187
8060at2085	Complete	MINDJIJG_00451	521.4	516
8077at2085	Complete	MINDJIJG_00632	442.2	314
8095at2085	Complete	MINDJIJG_00551	252.8	170
8107at2085	Missing
8160at2085	Complete	MINDJIJG_00563	263.1	204
8166at2085	Complete	MINDJIJG_00991	134.2	166
8189at2085	Missing
8199at2085	Fragmented	MINDJIJG_00624	225.7	164
8232at2085	Complete	MINDJIJG_00416	120.6	81
8245at2085	Missing
8263at2085	Complete	MINDJIJG_00300	261.0	279
8311at2085	Complete	MINDJIJG_00842	297.8	239
8382at2085	Complete	MINDJIJG_00463	379.6	349
10882at2085	Fragmented	MINDJIJG_00644	545.8	387
10883at2085	Fragmented	MINDJIJG_00025	811.5	419
10887at2085	Missing
10888at2085	Complete	MINDJIJG_00784	679.8	434
10892at2085	Missing
10894at2085	Missing
10897at2085	Missing
10902at2085	Missing
10906at2085	Complete	MINDJIJG_01060	464.9	293
10907at2085	Missing
10913at2085	Missing
10915at2085	Fragmented	MINDJIJG_00406	379.5	213
10916at2085	Missing
10924at2085	Fragmented	MINDJIJG_00471	469.8	285
10925at2085	Missing
10927at2085	Complete	MINDJIJG_00220	340.4	268
10928at2085	Fragmented	MINDJIJG_00992	263.9	156
10930at2085	Missing
10934at2085	Fragmented	MINDJIJG_00023	188.9	120
10938at2085	Missing
10939at2085	Missing
10942at2085	Fragmented	MINDJIJG_00262	285.3	235
10945at2085	Missing
10952at2085	Fragmented	MINDJIJG_00148	236.8	189
10966at2085	Missing
10967at2085	Missing
10978at2085	Complete	MINDJIJG_00052	215.9	214
10984at2085	Missing
10990at2085	Complete	MINDJIJG_00264	222.1	174
10991at2085	Missing
11005at2085	Complete	MINDJIJG_00574	107.3	85
11010at2085	Complete	MINDJIJG_00063	188.6	145
11025at2085	Complete	MINDJIJG_00392	115.1	61
11061at2085	Complete	MINDJIJG_00218	325.0	273
