#Position (bp)	Coverage
118250.5	29.696
118750.5	24.3
119250.5	24.666
119750.5	35.494
120250.5	29.14
120750.5	41.384
121250.5	33.296
121750.5	35.868
122250.5	30.036
122750.5	29.638
123250.5	30.118
123750.5	24.612
124250.5	24.1
124750.5	41.986
125250.5	35.306
125750.5	263.468
126250.5	427.482
126750.5	379.54
127250.5	23.282
127750.5	27.458
128250.5	27.248
128750.5	28.44
129250.5	28.66
129750.5	37.172
130250.5	28.794
130750.5	29.458
131250.5	37.94
131750.5	31.706
132250.5	37.646
132750.5	33.748
133250.5	30.202
133750.5	25.446
134250.5	39.752
134750.5	34.364
135250.5	32.408
135750.5	25.938
136250.5	25.798
136750.5	29.596
137250.5	31.304
137750.5	34.068
138250.5	176.606
138750.5	275.83
139250.5	216.3
139750.5	26.23
140250.5	24.546
140750.5	25.864
141250.5	26.692
141750.5	277.712
142250.5	32.616
142750.5	24.06
143250.5	25.016
143750.5	29.314
144250.5	24.41
144750.5	29.472
145250.5	30.394
145750.5	28.422
146250.5	23.024
146750.5	35.772
147250.5	34.28
147750.5	30.994
148250.5	29.584
148750.5	29.568
149250.5	28.086
149750.5	26.538
150250.5	31.792
150750.5	26.4
151250.5	22.852
151750.5	28.1
152250.5	28.054
152750.5	27.062
153250.5	28.422
153750.5	28.754
154250.5	31.106
154750.5	29.726
155250.5	41.584
155750.5	89.924
156250.5	26.532
156750.5	23.958
157250.5	35.002
157750.5	30.97
158250.5	31.3
158750.5	30.466
159250.5	25.882
159750.5	32.414
160250.5	47.226
160750.5	58.662
161250.5	58.286
161750.5	62.088
162250.5	92.288
162750.5	50.372
163250.5	26.226
163750.5	26.332
164250.5	28.426
164750.5	31.848
165250.5	34.312
165750.5	26.412
166250.5	30.852
166750.5	36.5
167250.5	32.648
167750.5	31.722
168250.5	24.488
168750.5	31.638
169250.5	33.106
169750.5	32.312
170250.5	41.938
170750.5	30.254
171250.5	32.326
171750.5	30.646
172250.5	26.5
172750.5	47.042
173250.5	32.768
173750.5	132.108
174250.5	82.56
174750.5	31.102
175250.5	29.712
175750.5	26.964
176250.5	167.268
176750.5	55.024
177250.5	31.296
177750.5	68.554
178250.5	32.806
178750.5	26.806
179250.5	34.03
179750.5	93.746
180250.5	25.886
180750.5	27.592
181250.5	31.954
181750.5	64.45
182250.5	25.58
182750.5	34.854
183250.5	29.04
183750.5	35.56
184250.5	119.248
184750.5	301.932
185250.5	207.616
185750.5	222.71
186250.5	25.972
186750.5	21.752
187250.5	35.962
187750.5	77.258
188250.5	31.642
188750.5	30.82
189250.5	28.616
189750.5	24.314
190250.5	31.284
190750.5	25.016
191250.5	22.644
191750.5	25.666
192250.5	25.066
192750.5	28.758
193250.5	37.344
193750.5	30.978
194250.5	36.052
194750.5	25.92
195250.5	27.098
195750.5	24.782
196250.5	35.03
196750.5	29.644
197250.5	28.578
197750.5	28.08
198250.5	24.84
198750.5	38.442
199250.5	34.77
199750.5	58.112
