#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_73696_cov_32.301567:36676-38085|+  -            470 7796                 -            434  5.5e-207  683.1  18.9   1   1  1.5e-208  6.5e-207  682.8  18.9     2   433    12   446    11   447 0.98 NODE_1_length_73696_cov_32.301567_31 # 36676 # 38085 # 1 # ID=1_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.285
NODE_1_length_73696_cov_32.301567:27123-27968|-  -            282 7796                 -            434   7.8e-34  112.5  10.4   2   2   1.5e-23   6.3e-22   73.3   1.5   198   304   152   258   144   269 0.94 NODE_1_length_73696_cov_32.301567_22 # 27123 # 27968 # -1 # ID=1_22;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.257
NODE_21_length_10748_cov_24.708596:8043-10571|+  -            843 7796                 -            434   1.1e-30  102.1  10.6   1   5   1.4e-11   6.1e-10   33.8   4.9     2   181     9   197     8   243 0.67 NODE_21_length_10748_cov_24.708596_7 # 8043 # 10571 # 1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.253
NODE_21_length_10748_cov_24.708596:8043-10571|+  -            843 7796                 -            434   1.1e-30  102.1  10.6   2   5      0.68        29   -1.4   0.5   120   158   258   296   241   337 0.59 NODE_21_length_10748_cov_24.708596_7 # 8043 # 10571 # 1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.253
NODE_21_length_10748_cov_24.708596:8043-10571|+  -            843 7796                 -            434   1.1e-30  102.1  10.6   3   5      0.22       9.5    0.2   1.9   105   156   382   434   340   467 0.66 NODE_21_length_10748_cov_24.708596_7 # 8043 # 10571 # 1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.253
NODE_21_length_10748_cov_24.708596:8043-10571|+  -            843 7796                 -            434   1.1e-30  102.1  10.6   4   5       7.7   3.3e+02   -4.9  15.4    98   216   486   603   477   618 0.74 NODE_21_length_10748_cov_24.708596_7 # 8043 # 10571 # 1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.253
NODE_21_length_10748_cov_24.708596:8043-10571|+  -            843 7796                 -            434   1.1e-30  102.1  10.6   5   5   8.7e-26   3.7e-24   80.6   0.3   203   323   653   774   606   803 0.86 NODE_21_length_10748_cov_24.708596_7 # 8043 # 10571 # 1 # ID=21_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.253
NODE_21_length_10748_cov_24.708596:6884-8050|+   -            389 7796                 -            434   1.5e-27   91.8   0.2   1   2   2.2e-07   9.4e-06   20.0   0.2     2    55    41    99    40   125 0.67 NODE_21_length_10748_cov_24.708596_6 # 6884 # 8050 # 1 # ID=21_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.303
NODE_21_length_10748_cov_24.708596:6884-8050|+   -            389 7796                 -            434   1.5e-27   91.8   0.2   2   2   1.7e-22   7.4e-21   69.7   0.0   198   320   169   294   156   302 0.91 NODE_21_length_10748_cov_24.708596_6 # 6884 # 8050 # 1 # ID=21_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.303
NODE_3_length_51449_cov_28.078621:20620-21324|+  -            235 7796                 -            434     2e-26   88.1   2.5   1   2   4.7e-13     2e-11   38.6   0.9     2    90     2    89     1   100 0.85 NODE_3_length_51449_cov_28.078621_16 # 20620 # 21324 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.268
NODE_3_length_51449_cov_28.078621:20620-21324|+  -            235 7796                 -            434     2e-26   88.1   2.5   2   2   2.4e-16     1e-14   49.5   0.0   192   304   103   214    91   230 0.89 NODE_3_length_51449_cov_28.078621_16 # 20620 # 21324 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.268
NODE_12_length_18973_cov_26.749390:13504-14247|+ -            248 7796                 -            434   3.6e-23   77.4   6.1   1   2   2.2e-14   9.5e-13   43.0   0.8     6    97     4   102     1   113 0.76 NODE_12_length_18973_cov_26.749390_10 # 13504 # 14247 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.239
NODE_12_length_18973_cov_26.749390:13504-14247|+ -            248 7796                 -            434   3.6e-23   77.4   6.1   2   2   8.9e-13   3.8e-11   37.7   0.6   208   313   132   237    88   243 0.85 NODE_12_length_18973_cov_26.749390_10 # 13504 # 14247 # 1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.239
NODE_6_length_32321_cov_28.623066:5523-7400|+    -            626 7796                 -            434   5.2e-23   76.8   5.7   1   2   5.2e-16   2.2e-14   48.4   0.6     6   126   382   505   378   516 0.82 NODE_6_length_32321_cov_28.623066_7 # 5523 # 7400 # 1 # ID=6_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.275
NODE_6_length_32321_cov_28.623066:5523-7400|+    -            626 7796                 -            434   5.2e-23   76.8   5.7   2   2   9.6e-11   4.1e-09   31.0   0.7   219   312   515   605   497   610 0.83 NODE_6_length_32321_cov_28.623066_7 # 5523 # 7400 # 1 # ID=6_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.275
NODE_6_length_32321_cov_28.623066:3707-5530|+    -            608 7796                 -            434   1.3e-22   75.6   4.5   1   2   1.7e-10   7.2e-09   30.2   0.1    17    90   376   451   359   461 0.83 NODE_6_length_32321_cov_28.623066_6 # 3707 # 5530 # 1 # ID=6_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.288
NODE_6_length_32321_cov_28.623066:3707-5530|+    -            608 7796                 -            434   1.3e-22   75.6   4.5   2   2   2.9e-15   1.2e-13   45.9   1.1   219   310   495   585   484   590 0.90 NODE_6_length_32321_cov_28.623066_6 # 3707 # 5530 # 1 # ID=6_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.288
NODE_15_length_15603_cov_14.444365:13552-15165|+ -            538 7796                 -            434   3.4e-21   70.8  18.0   1   5   5.2e-09   2.2e-07   25.3   1.5     8    66     4    62     1   101 0.84 NODE_15_length_15603_cov_14.444365_10 # 13552 # 15165 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289
NODE_15_length_15603_cov_14.444365:13552-15165|+ -            538 7796                 -            434   3.4e-21   70.8  18.0   2   5     2e-09   8.4e-08   26.7   0.3   127   286    58   213    52   225 0.83 NODE_15_length_15603_cov_14.444365_10 # 13552 # 15165 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289
NODE_15_length_15603_cov_14.444365:13552-15165|+ -            538 7796                 -            434   3.4e-21   70.8  18.0   3   5      0.34        15   -0.4   3.2   115   168   238   291   223   300 0.75 NODE_15_length_15603_cov_14.444365_10 # 13552 # 15165 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289
NODE_15_length_15603_cov_14.444365:13552-15165|+ -            538 7796                 -            434   3.4e-21   70.8  18.0   4   5   6.4e-06   0.00028   15.1   0.1     4    64   318   379   316   389 0.86 NODE_15_length_15603_cov_14.444365_10 # 13552 # 15165 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289
NODE_15_length_15603_cov_14.444365:13552-15165|+ -            538 7796                 -            434   3.4e-21   70.8  18.0   5   5   3.7e-05    0.0016   12.6   0.0   219   271   441   493   412   503 0.79 NODE_15_length_15603_cov_14.444365_10 # 13552 # 15165 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289
NODE_13_length_17613_cov_8.412730:6337-8121|-    -            595 7796                 -            434   1.4e-19   65.5   2.8   1   2   4.4e-08   1.9e-06   22.3   0.2    18   101   370   454   352   473 0.83 NODE_13_length_17613_cov_8.412730_6 # 6337 # 8121 # -1 # ID=13_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.257
NODE_13_length_17613_cov_8.412730:6337-8121|-    -            595 7796                 -            434   1.4e-19   65.5   2.8   2   2     2e-14   8.6e-13   43.2   0.2   221   312   490   577   459   583 0.86 NODE_13_length_17613_cov_8.412730_6 # 6337 # 8121 # -1 # ID=13_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.257
NODE_13_length_17613_cov_8.412730:4499-6322|-    -            608 7796                 -            434   2.9e-19   64.5   6.3   1   2   2.2e-12   9.5e-11   36.4   0.2    18   115   381   478   366   496 0.80 NODE_13_length_17613_cov_8.412730_5 # 4499 # 6322 # -1 # ID=13_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.263
NODE_13_length_17613_cov_8.412730:4499-6322|-    -            608 7796                 -            434   2.9e-19   64.5   6.3   2   2   1.7e-10   7.1e-09   30.3   2.1   213   313   493   591   468   597 0.87 NODE_13_length_17613_cov_8.412730_5 # 4499 # 6322 # -1 # ID=13_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.263
NODE_18_length_12121_cov_14.008754:4947-7775|-   -            943 7796                 -            434   1.7e-15   52.0  10.4   1   4   5.7e-05    0.0024   12.0   0.1    20    46    14    40     7    46 0.91 NODE_18_length_12121_cov_14.008754_6 # 4947 # 7775 # -1 # ID=18_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.305
NODE_18_length_12121_cov_14.008754:4947-7775|-   -            943 7796                 -            434   1.7e-15   52.0  10.4   2   4     3e-08   1.3e-06   22.8   0.7   198   296   464   562   448   571 0.80 NODE_18_length_12121_cov_14.008754_6 # 4947 # 7775 # -1 # ID=18_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.305
NODE_18_length_12121_cov_14.008754:4947-7775|-   -            943 7796                 -            434   1.7e-15   52.0  10.4   3   4   0.00053     0.023    8.8   0.3    20    48   625   653   615   664 0.87 NODE_18_length_12121_cov_14.008754_6 # 4947 # 7775 # -1 # ID=18_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.305
NODE_18_length_12121_cov_14.008754:4947-7775|-   -            943 7796                 -            434   1.7e-15   52.0  10.4   4   4   6.5e-05    0.0028   11.8   0.0   196   269   803   879   792   927 0.76 NODE_18_length_12121_cov_14.008754_6 # 4947 # 7775 # -1 # ID=18_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.305
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/7796at2085.hmm
# Target file:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/run_mycoplasmatales_odb12/hmmer_output/7796at2085.out --cpu 1 /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/7796at2085.hmm /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3
# Date:            Tue Oct 28 11:31:05 2025
# [ok]
